,No correction,,ECP2,,ECP6,,SAFER_32,,PAYG,,FREE-p,,Aegis 9x61,,Zombie_XOR,,RIDER,,RIDER + FREE-p,,RIDER + ECP4,,RIDER-XOR,,RIDER-XOR + ECP4,,RIDER + Aegis 17x31
,,,,9.18E+08,101.07,9.64E+08,102.17,,,,,1.82E+09,98.855,1.81E+09,99.383,,,,,,,1.82E+09,99.212,1.82E+09,100.45,1.81E+09,101.55
,,,,9.18E+08,101.07,9.64E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.204,1.82E+09,100.45,1.82E+09,101.55
,,,,9.19E+08,101.07,9.64E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.202,1.82E+09,100.45,1.82E+09,101.55
,,,,9.19E+08,101.07,9.65E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.196,1.82E+09,100.45,1.82E+09,101.55
,,,,9.19E+08,101.07,9.65E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.197,1.82E+09,100.45,1.82E+09,101.55
,,,,9.19E+08,101.07,9.65E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.193,1.82E+09,100.45,1.82E+09,101.55
,,,,9.19E+08,101.07,9.65E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.19,1.82E+09,100.45,1.82E+09,101.55
,,,,9.20E+08,101.07,9.66E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.181,1.82E+09,100.45,1.82E+09,101.55
,,,,9.20E+08,101.07,9.66E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.175,1.82E+09,100.45,1.82E+09,101.55
,,,,9.20E+08,101.07,9.66E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.176,1.82E+09,100.45,1.82E+09,101.55
,,,,9.20E+08,101.07,9.66E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.168,1.82E+09,100.45,1.82E+09,101.55
,,,,9.20E+08,101.07,9.66E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.162,1.82E+09,100.45,1.82E+09,101.55
,,,,9.21E+08,101.07,9.67E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.154,1.82E+09,100.45,1.82E+09,101.55
,,,,9.21E+08,101.07,9.67E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.147,1.82E+09,100.45,1.82E+09,101.55
,,,,9.21E+08,101.07,9.67E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.143,1.82E+09,100.45,1.82E+09,101.55
,,,,9.21E+08,101.07,9.67E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.144,1.82E+09,100.45,1.82E+09,101.55
,,,,9.21E+08,101.07,9.67E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.143,1.82E+09,100.45,1.82E+09,101.55
,,,,9.21E+08,101.07,9.68E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.137,1.82E+09,100.45,1.82E+09,101.55
,,,,9.22E+08,101.07,9.68E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.137,1.82E+09,100.45,1.82E+09,101.55
,,,,9.22E+08,101.07,9.68E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.131,1.82E+09,100.45,1.82E+09,101.55
,,,,9.22E+08,101.07,9.68E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.131,1.82E+09,100.45,1.82E+09,101.55
,,,,9.22E+08,101.07,9.68E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.126,1.82E+09,100.45,1.82E+09,101.55
,,,,9.22E+08,101.07,9.69E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.123,1.82E+09,100.45,1.82E+09,101.55
,,,,9.23E+08,101.07,9.69E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.118,1.82E+09,100.45,1.82E+09,101.55
,,,,9.23E+08,101.07,9.69E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.117,1.82E+09,100.45,1.82E+09,101.55
,,,,9.23E+08,101.07,9.69E+08,102.17,,,,,1.82E+09,98.855,1.82E+09,99.383,,,,,,,1.82E+09,99.113,1.82E+09,100.45,1.82E+09,101.55
,,,,9.23E+08,101.07,9.69E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.109,1.83E+09,100.45,1.83E+09,101.55
,,,,9.23E+08,101.07,9.70E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.103,1.83E+09,100.45,1.83E+09,101.55
,,,,9.24E+08,101.07,9.70E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.092,1.83E+09,100.45,1.83E+09,101.55
,,,,9.24E+08,101.07,9.70E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.09,1.83E+09,100.45,1.83E+09,101.55
,,,,9.24E+08,101.07,9.70E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.083,1.83E+09,100.45,1.83E+09,101.55
,,,,9.24E+08,101.07,9.70E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.077,1.83E+09,100.45,1.83E+09,101.55
,,,,9.24E+08,101.07,9.71E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.078,1.83E+09,100.45,1.83E+09,101.55
,,,,9.25E+08,101.07,9.71E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.075,1.83E+09,100.45,1.83E+09,101.55
,,,,9.25E+08,101.07,9.71E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.062,1.83E+09,100.45,1.83E+09,101.55
,,,,9.25E+08,101.07,9.71E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.057,1.83E+09,100.45,1.83E+09,101.55
,,,,9.25E+08,101.07,9.71E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.051,1.83E+09,100.45,1.83E+09,101.55
,,,,9.25E+08,101.07,9.72E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.051,1.83E+09,100.45,1.83E+09,101.55
,,,,9.26E+08,101.07,9.72E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.051,1.83E+09,100.45,1.83E+09,101.55
,,,,9.26E+08,101.07,9.72E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.046,1.83E+09,100.45,1.83E+09,101.55
,,,,9.26E+08,101.07,9.72E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.041,1.83E+09,100.45,1.83E+09,101.55
,,,,9.26E+08,101.07,9.72E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.035,1.83E+09,100.45,1.83E+09,101.55
,,,,9.26E+08,101.07,9.73E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.025,1.83E+09,100.45,1.83E+09,101.55
,,,,9.27E+08,101.07,9.73E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.025,1.83E+09,100.45,1.83E+09,101.55
,,,,9.27E+08,101.07,9.73E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.024,1.83E+09,100.45,1.83E+09,101.55
,,,,9.27E+08,101.07,9.73E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.018,1.83E+09,100.45,1.83E+09,101.55
,,,,9.27E+08,101.07,9.74E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.018,1.83E+09,100.45,1.83E+09,101.55
,,,,9.27E+08,101.07,9.74E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.012,1.83E+09,100.45,1.83E+09,101.55
,,,,9.28E+08,101.07,9.74E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.011,1.83E+09,100.45,1.83E+09,101.55
,,,,9.28E+08,101.07,9.74E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.005,1.83E+09,100.45,1.83E+09,101.55
,,,,9.28E+08,101.07,9.74E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.005,1.83E+09,100.45,1.83E+09,101.55
,,,,9.28E+08,101.07,9.75E+08,102.17,,,,,1.83E+09,98.855,1.83E+09,99.383,,,,,,,1.83E+09,99.005,1.83E+09,100.45,1.83E+09,101.55
,,,,9.28E+08,101.07,9.75E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,99.006,1.84E+09,100.45,1.84E+09,101.55
,,,,9.29E+08,101.07,9.75E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,99.001,1.84E+09,100.45,1.84E+09,101.55
,,,,9.29E+08,101.07,9.75E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.998,1.84E+09,100.45,1.84E+09,101.55
,,,,9.29E+08,101.07,9.75E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.99,1.84E+09,100.45,1.84E+09,101.55
,,,,9.29E+08,101.07,9.76E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.984,1.84E+09,100.45,1.84E+09,101.55
,,,,9.29E+08,101.07,9.76E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.985,1.84E+09,100.45,1.84E+09,101.55
,,,,9.29E+08,101.07,9.76E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.979,1.84E+09,100.45,1.84E+09,101.55
,,,,9.30E+08,101.07,9.76E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.979,1.84E+09,100.45,1.84E+09,101.55
,,,,9.30E+08,101.07,9.76E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.977,1.84E+09,100.45,1.84E+09,101.55
,,,,9.30E+08,101.07,9.77E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.972,1.84E+09,100.45,1.84E+09,101.55
,,,,9.30E+08,101.07,9.77E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.972,1.84E+09,100.45,1.84E+09,101.55
,,,,9.30E+08,101.07,9.77E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.972,1.84E+09,100.45,1.84E+09,101.55
,,,,9.31E+08,101.07,9.77E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.971,1.84E+09,100.45,1.84E+09,101.55
,,,,9.31E+08,101.07,9.77E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.965,1.84E+09,100.45,1.84E+09,101.55
,,,,9.31E+08,101.07,9.78E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.965,1.84E+09,100.45,1.84E+09,101.55
,,,,9.31E+08,101.07,9.78E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.965,1.84E+09,100.45,1.84E+09,101.55
,,,,9.31E+08,101.07,9.78E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.965,1.84E+09,100.45,1.84E+09,101.55
,,,,9.32E+08,101.07,9.78E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.959,1.84E+09,100.45,1.84E+09,101.55
,,,,9.32E+08,101.07,9.78E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.959,1.84E+09,100.45,1.84E+09,101.55
,,,,9.32E+08,101.07,9.79E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.954,1.84E+09,100.45,1.84E+09,101.55
,,,,9.32E+08,101.07,9.79E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.948,1.84E+09,100.45,1.84E+09,101.55
,,,,9.32E+08,101.07,9.79E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.941,1.84E+09,100.45,1.84E+09,101.55
,,,,9.33E+08,101.07,9.79E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.938,1.84E+09,100.45,1.84E+09,101.55
,,,,9.33E+08,101.07,9.79E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.933,1.84E+09,100.45,1.84E+09,101.55
,,,,9.33E+08,101.07,9.80E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.927,1.84E+09,100.45,1.84E+09,101.55
,,,,9.33E+08,101.07,9.80E+08,102.17,,,,,1.84E+09,98.855,1.84E+09,99.383,,,,,,,1.84E+09,98.92,1.84E+09,100.45,1.84E+09,101.55
,,,,9.33E+08,101.07,9.80E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.918,1.85E+09,100.45,1.85E+09,101.55
,,,,9.34E+08,101.07,9.80E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.909,1.85E+09,100.45,1.85E+09,101.55
,,,,9.34E+08,101.07,9.80E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.902,1.85E+09,100.45,1.85E+09,101.55
,,,,9.34E+08,101.07,9.81E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.899,1.85E+09,100.45,1.85E+09,101.55
,,,,9.34E+08,101.07,9.81E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.898,1.85E+09,100.45,1.85E+09,101.55
,,,,9.34E+08,101.07,9.81E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.893,1.85E+09,100.45,1.85E+09,101.55
,,,,9.35E+08,101.07,9.81E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.883,1.85E+09,100.45,1.85E+09,101.55
,,,,9.35E+08,101.07,9.82E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.873,1.85E+09,100.45,1.85E+09,101.55
,,,,9.35E+08,101.07,9.82E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.873,1.85E+09,100.45,1.85E+09,101.55
,,,,9.35E+08,101.07,9.82E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.873,1.85E+09,100.45,1.85E+09,101.55
,,,,9.35E+08,101.07,9.82E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.866,1.85E+09,100.45,1.85E+09,101.55
,,,,9.36E+08,101.07,9.82E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.856,1.85E+09,100.45,1.85E+09,101.55
,,,,9.36E+08,101.07,9.83E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.853,1.85E+09,100.45,1.85E+09,101.55
,,,,9.36E+08,101.07,9.83E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.848,1.85E+09,100.45,1.85E+09,101.55
,,,,9.36E+08,101.07,9.83E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.841,1.85E+09,100.45,1.85E+09,101.55
,,,,9.36E+08,101.07,9.83E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.84,1.85E+09,100.45,1.85E+09,101.55
,,,,9.37E+08,101.07,9.83E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.836,1.85E+09,100.45,1.85E+09,101.55
,,,,9.37E+08,101.07,9.84E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.832,1.85E+09,100.45,1.85E+09,101.55
,,,,9.37E+08,101.07,9.84E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.826,1.85E+09,100.45,1.85E+09,101.55
,,,,9.37E+08,101.07,9.84E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.82,1.85E+09,100.45,1.85E+09,101.55
,,,,9.37E+08,101.07,9.84E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.82,1.85E+09,100.45,1.85E+09,101.55
,,,,9.38E+08,101.07,9.84E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.82,1.85E+09,100.45,1.85E+09,101.55
,,,,9.38E+08,101.07,9.85E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.82,1.85E+09,100.45,1.85E+09,101.55
,,,,9.38E+08,101.07,9.85E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.82,1.85E+09,100.45,1.85E+09,101.55
,,,,9.38E+08,101.07,9.85E+08,102.17,,,,,1.85E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.814,1.85E+09,100.45,1.85E+09,101.55
,,,,9.38E+08,101.07,9.85E+08,102.17,,,,,1.86E+09,98.855,1.85E+09,99.383,,,,,,,1.85E+09,98.814,1.85E+09,100.45,1.85E+09,101.55
,,,,9.38E+08,101.07,9.85E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.811,1.86E+09,100.45,1.86E+09,101.55
,,,,9.39E+08,101.07,9.86E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.801,1.86E+09,100.45,1.86E+09,101.55
,,,,9.39E+08,101.07,9.86E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.795,1.86E+09,100.45,1.86E+09,101.55
,,,,9.39E+08,101.07,9.86E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.793,1.86E+09,100.45,1.86E+09,101.55
,,,,9.39E+08,101.07,9.86E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.795,1.86E+09,100.45,1.86E+09,101.55
,,,,9.39E+08,101.07,9.86E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.789,1.86E+09,100.45,1.86E+09,101.55
,,,,9.40E+08,101.07,9.87E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.787,1.86E+09,100.45,1.86E+09,101.55
,,,,9.40E+08,101.07,9.87E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.786,1.86E+09,100.45,1.86E+09,101.55
,,,,9.40E+08,101.07,9.87E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.781,1.86E+09,100.45,1.86E+09,101.55
,,,,9.40E+08,101.07,9.87E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.777,1.86E+09,100.45,1.86E+09,101.55
,,,,9.40E+08,101.07,9.87E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.774,1.86E+09,100.45,1.86E+09,101.55
,,,,9.41E+08,101.07,9.88E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.773,1.86E+09,100.45,1.86E+09,101.55
,,,,9.41E+08,101.07,9.88E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.762,1.86E+09,100.45,1.86E+09,101.55
,,,,9.41E+08,101.07,9.88E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.756,1.86E+09,100.45,1.86E+09,101.55
,,,,9.41E+08,101.07,9.88E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.754,1.86E+09,100.45,1.86E+09,101.55
,,,,9.41E+08,101.07,9.88E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.751,1.86E+09,100.45,1.86E+09,101.55
,,,,9.42E+08,101.07,9.89E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.743,1.86E+09,100.45,1.86E+09,101.55
,,,,9.42E+08,101.07,9.89E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.739,1.86E+09,100.45,1.86E+09,101.55
,,,,9.42E+08,101.07,9.89E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.734,1.86E+09,100.45,1.86E+09,101.55
,,,,9.42E+08,101.07,9.89E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.735,1.86E+09,100.45,1.86E+09,101.55
,,,,9.42E+08,101.07,9.90E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.735,1.86E+09,100.45,1.86E+09,101.55
,,,,9.43E+08,101.07,9.90E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.73,1.86E+09,100.45,1.86E+09,101.55
,,,,9.43E+08,101.07,9.90E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.721,1.86E+09,100.45,1.86E+09,101.55
,,,,9.43E+08,101.07,9.90E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.721,1.86E+09,100.45,1.86E+09,101.55
,,,,9.43E+08,101.07,9.90E+08,102.17,,,,,1.86E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.721,1.86E+09,100.45,1.86E+09,101.55
,,,,9.43E+08,101.07,9.91E+08,102.17,,,,,1.87E+09,98.855,1.86E+09,99.383,,,,,,,1.86E+09,98.715,1.86E+09,100.45,1.86E+09,101.55
,,,,9.44E+08,101.07,9.91E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.714,1.87E+09,100.45,1.87E+09,101.55
,,,,9.44E+08,101.07,9.91E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.715,1.87E+09,100.45,1.87E+09,101.55
,,,,9.44E+08,101.07,9.91E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.704,1.87E+09,100.45,1.87E+09,101.55
,,,,9.44E+08,101.07,9.91E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.702,1.87E+09,100.45,1.87E+09,101.55
,,,,9.44E+08,101.07,9.92E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.697,1.87E+09,100.45,1.87E+09,101.55
,,,,9.45E+08,101.07,9.92E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.695,1.87E+09,100.45,1.87E+09,101.55
,,,,9.45E+08,101.07,9.92E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.69,1.87E+09,100.45,1.87E+09,101.55
,,,,9.45E+08,101.07,9.92E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.685,1.87E+09,100.45,1.87E+09,101.55
,,,,9.45E+08,101.07,9.92E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.674,1.87E+09,100.45,1.87E+09,101.55
,,,,9.45E+08,101.07,9.93E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.669,1.87E+09,100.45,1.87E+09,101.55
,,,,9.46E+08,101.07,9.93E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.664,1.87E+09,100.45,1.87E+09,101.55
,,,,9.46E+08,101.07,9.93E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.662,1.87E+09,100.45,1.87E+09,101.55
,,,,9.46E+08,101.07,9.93E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.661,1.87E+09,100.45,1.87E+09,101.55
,,,,9.46E+08,101.07,9.93E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.654,1.87E+09,100.45,1.87E+09,101.55
,,,,9.46E+08,101.07,9.94E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.649,1.87E+09,100.45,1.87E+09,101.55
,,,,9.46E+08,101.07,9.94E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.649,1.87E+09,100.45,1.87E+09,101.55
,,,,9.47E+08,101.07,9.94E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.646,1.87E+09,100.45,1.87E+09,101.55
,,,,9.47E+08,101.07,9.94E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.638,1.87E+09,100.45,1.87E+09,101.55
,,,,9.47E+08,101.07,9.94E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.635,1.87E+09,100.45,1.87E+09,101.55
,,,,9.47E+08,101.07,9.95E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.631,1.87E+09,100.45,1.87E+09,101.55
,,,,9.47E+08,101.07,9.95E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.623,1.87E+09,100.45,1.87E+09,101.55
,,,,9.48E+08,101.07,9.95E+08,102.17,,,,,1.87E+09,98.855,1.87E+09,99.383,,,,,,,1.87E+09,98.623,1.87E+09,100.45,1.87E+09,101.55
